Account,Description,CurrencyCode,Amount
Sainsburys,ddd,USD,234.5
Barclays,eeee,EUR,34.5
HSBC,bank,GBP,234.5
HSBC,bank,EUR,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,456
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
HSBC,bank,GBP,234.5
